obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('41',)",3.49889993668,29,13,1026.73956604,29,13,14,3779218469.04,3779218539.23,3772425005.24,44.63218,-124.30797,0.0,internal_timestamp,69.3069992065,29,29,1563436205.24,33.870098114,29,29,0,7.77799987793,29,29,3772425005.24
"('42',)",3.49886989594,29,13,1026.73908021,29,13,14,3779218469.04,3779218539.23,3772425005.31,44.63218,-124.30797,0.0,internal_timestamp,69.3099975586,29,29,1563436205.31,33.8694992065,29,29,0,7.77820014954,29,29,3772425005.31
"('43',)",3.49884009361,29,13,1026.73866775,29,13,14,3779218469.04,3779218539.23,3772425005.37,44.63218,-124.30797,0.0,internal_timestamp,69.31199646,29,29,1563436205.37,33.8689994812,29,29,0,7.77839994431,29,29,3772425005.37
"('44',)",3.49882006645,29,13,1026.73861374,29,13,14,3779218469.04,3779218539.23,3772425005.43,44.63218,-124.30797,0.0,internal_timestamp,69.3140029907,29,29,1563436205.43,33.8689002991,29,29,0,7.7782998085,29,29,3772425005.43
"('45',)",3.49881005287,29,13,1026.73882798,29,13,14,3779218469.04,3779218539.23,3772425005.49,44.63218,-124.30797,0.0,internal_timestamp,69.3140029907,29,29,1563436205.49,33.8690986633,29,29,0,7.77790021896,29,29,3772425005.49
"('46',)",3.49879002571,29,13,1026.73952923,29,13,14,3779218469.04,3779218539.23,3772425005.56,44.63218,-124.30797,0.0,internal_timestamp,69.3180007935,29,29,1563436205.56,33.8698005676,29,29,0,7.77699995041,29,29,3772425005.56
"('47',)",3.49876999855,29,13,1026.74042007,29,13,14,3779218469.04,3779218539.23,3772425005.62,44.63218,-124.30797,0.0,internal_timestamp,69.3229980469,29,29,1563436205.62,33.8707008362,29,29,0,7.77589988708,29,29,3772425005.62
"('48',)",3.49875998497,29,13,1026.74137584,29,13,14,3779218469.04,3779218539.23,3772425005.68,44.63218,-124.30797,0.0,internal_timestamp,69.3219985962,29,29,1563436205.68,33.8717002869,29,29,0,7.77470016479,29,29,3772425005.68
"('49',)",3.49873995781,29,13,1026.74244255,29,13,14,3779218469.04,3779218539.23,3772425005.74,44.63218,-124.30797,0.0,internal_timestamp,69.3249969482,29,29,1563436205.74,33.8727989197,29,29,0,7.77339982986,29,29,3772425005.74
"('50',)",3.49870991707,29,13,1026.74343218,29,13,14,3779218469.04,3779218539.23,3772425005.81,44.63218,-124.30797,0.0,internal_timestamp,69.3249969482,29,29,1563436205.81,33.8737983704,29,29,0,7.77199983597,29,29,3772425005.81
